year,b,se,lo,hi,p
2014,0.09510500866177958,0.043838175356407015,0.008844806163295332,0.18136521116026383,0.03081255206148059
2015,0.0,0.0,0.0,0.0,
2016,-0.2430029098786373,0.046050385553398965,-0.33361606954311473,-0.15238975021415987,2.483084871052199e-07
2017,-0.24517713979736117,0.06568467271336549,-0.37442460785999987,-0.11592967173472249,0.00022562768497458308
2018,-0.3241026178077609,0.0671242789853525,-0.45618279338000944,-0.19202244223551235,2.17151358716805e-06
2019,-0.49415286354515503,0.0729482680427075,-0.6376928791164919,-0.3506128479738182,6.3614224998787e-11
2020,-0.8692875718264138,0.08300323231916663,-1.0326127004311019,-0.7059624432217256,0.0
