year,b,se,lo,hi,p
2014,-0.03415137315820217,0.01975166108655542,-0.07299980724572835,0.0046970609293240165,0.08469425979872014
2015,0.0,0.0,0.0,0.0,
2016,-0.00196286526706985,0.01780320873652303,-0.03697899773898952,0.033053267204849815,0.9122722911846513
2017,0.0031683020310934607,0.02451789380949637,-0.04505456780497934,0.051391171867166255,0.8972554358098184
2018,0.023178721452499905,0.02774295804262183,-0.031387346291818406,0.07774478919681821,0.40402334562295983
2019,0.0513030631399674,0.02848018194318739,-0.004713008934789965,0.10731913521472478,0.07251663649048479
2020,0.005282024252538152,0.03320737935886283,-0.06003170721485605,0.07059575571993236,0.8737130185893074
