year,b,se,lo,hi,p
2014,-0.04297817233632233,0.016731465889285937,-0.07588034228240678,-0.010076002390237877,0.010604800230284317
2015,0.0,0.0,0.0,0.0,
2016,0.050634426881355415,0.014353538027790852,0.02240841544619624,0.0788604383165146,0.00047273509779399703
2017,0.07333987771364357,0.01983080093403255,0.03434291314305414,0.112336842284233,0.0002504294313407929
2018,0.10060005467289379,0.023196079051501055,0.054985322521778665,0.1462147868240089,1.871813640197395e-05
2019,0.15138335159036947,0.023909905051821594,0.10436489160513075,0.1984018115756082,7.137181956551331e-10
2020,0.12487846629428528,0.029705638765336707,0.06646278523671745,0.18329414735185312,3.303927733200318e-05
