year,table,file,basis,n_four_digit,n_mean,n_median,n_jobs
2014,14.5a,Occupation SOC10 (4) Table 14.5a   Hourly pay - Gross 2014.xls,SOC10,369,364,361,342
2015,14.5a,Occupation SOC10 (4) Table 14.5a   Hourly pay - Gross 2015.xls,SOC10,369,365,360,334
2016,14.5a,Occupation SOC10 (4) Table 14.5a   Hourly pay - Gross 2016.xls,SOC10,369,365,359,329
2017,14.5a,Occupation SOC10 (4) Table 14.5a   Hourly pay - Gross 2017.xls,SOC10,369,363,361,329
2018,14.5a,Occupation SOC10 (4) Table 14.5a   Hourly pay - Gross 2018.xls,SOC10,369,364,358,329
2019,14.5a,Occupation SOC10 (4) Table 14.5a   Hourly pay - Gross 2019.xls,SOC10,369,363,352,329
2020,14.5a,Occupation SOC10 (4) Table 14.5a   Hourly pay - Gross 2020.xls,SOC10,369,362,348,311
2021,14.5a,Occupation SOC20 (4) Table 14.5a   Hourly pay - Gross 2021.xls,SOC20,412,406,398,357
2022,14.5a,Occupation SOC20 (4) Table 14.5a   Hourly pay - Gross 2022.xls,SOC20,412,408,380,355
2023,14.5a,Occupation SOC20 (4) Table 14.5a   Hourly pay - Gross 2023.xlsx,SOC20,412,408,405,362
